video_id,frame_idx,phase,augment
case_0012,78,7,False
case_0012,230,7,False
case_0012,383,7,False
case_0012,535,7,False
case_0013,314,7,False
case_0013,470,7,False
case_0013,1385,7,False
case_0013,1548,7,False
case_0015,646,7,False
case_0015,771,7,False
case_0015,896,7,False
case_0020,4282,7,False
case_0020,4408,7,False
case_0020,4534,7,False
case_0020,4660,7,False
case_0020,7008,7,False
case_0020,7149,7,False
case_0020,7291,7,False
case_0020,7432,7,False
case_0020,7573,7,False
case_0020,7715,7,False
case_0020,7856,7,False
case_0021,6363,7,False
case_0024,2375,7,False
case_0024,2824,7,False
case_0024,2956,7,False
case_0026,3280,7,False
case_0028,2185,7,False
case_0028,2327,7,False
case_0028,2469,7,False
case_0031,305,7,False
case_0031,1069,7,False
case_0031,1230,7,False
case_0036,144,7,False
case_0036,248,7,False
case_0036,977,7,False
case_0036,1125,7,False
case_0043,172,7,False
case_0043,278,7,False
case_0043,823,7,False
case_0045,250,7,False
case_0045,384,7,False
case_0045,1582,7,False
case_0052,2839,7,False
case_0052,2972,7,False
case_0052,3105,7,False
case_0052,5252,7,False
case_0052,5409,7,False
case_0052,5566,7,False
case_0057,276,7,False
case_0057,411,7,False
case_0057,546,7,False
case_0057,681,7,False
case_0057,816,7,False
case_0057,951,7,False
case_0057,1086,7,False
case_0057,1221,7,False
case_0057,1356,7,False
case_0057,1491,7,False
case_0057,1626,7,False
case_0057,1761,7,False
case_0057,1896,7,False
case_0057,2031,7,False
case_0057,2166,7,False
case_0066,706,7,False
case_0066,835,7,False
case_0066,964,7,False
case_0066,2584,7,False
case_0066,2704,7,False
case_0066,2824,7,False
case_0070,4480,7,False
case_0070,4584,7,False
case_0070,5745,7,False
case_0070,5863,7,False
case_0071,309,7,False
case_0071,415,7,False
case_0077,1043,7,False
case_0077,1175,7,False
case_0077,1308,7,False
case_0077,1440,7,False
case_0077,1572,7,False
case_0077,1705,7,False
case_0077,1837,7,False
case_0077,2897,7,False
case_0077,3031,7,False
case_0077,3164,7,False
case_0077,3298,7,False
case_0077,3431,7,False
case_0077,3565,7,False
case_0077,3698,7,False
case_0077,3832,7,False
case_0083,1281,7,False
case_0087,287,7,False
case_0087,702,7,False
case_0088,2472,7,False
case_0088,2614,7,False
case_0088,8906,7,False
case_0088,20444,7,False
case_0088,20580,7,False
case_0088,22752,7,False
case_0088,22873,7,False
case_0088,22993,7,False
case_0088,25767,7,False
case_0088,25907,7,False
case_0093,2950,7,False
case_0093,3375,7,False
case_0093,3497,7,False
case_0120,5335,7,False
case_0120,7779,7,False
case_0120,7903,7,False
case_0120,8027,7,False
case_0122,655,7,False
case_0122,791,7,False
case_0122,927,7,False
case_0122,1063,7,False
case_0122,1199,7,False
case_0122,1335,7,False
case_0122,1471,7,False
case_0122,1607,7,False
case_0122,2911,7,False
case_0122,3035,7,False
case_0122,3159,7,False
case_0131,272,7,False
case_0131,420,7,False
case_0131,568,7,False
case_0136,6720,7,False
case_0136,6860,7,False
case_0136,6999,7,False
case_0145,708,7,False
case_0145,878,7,False
case_0145,1680,7,False
case_0145,1808,7,False
case_0145,1935,7,False
case_0148,77,7,False
case_0148,229,7,False
case_0148,7053,7,False
case_0152,6486,7,False
case_0152,6629,7,False
case_0152,6772,7,False
case_0152,6915,7,False
case_0152,7057,7,False
case_0152,7200,7,False
case_0152,7343,7,False
case_0153,1600,7,False
case_0158,62,7,False
case_0158,1786,7,False
case_0158,1906,7,False
case_0158,2026,7,False
case_0159,645,7,False
case_0159,795,7,False
case_0159,1212,7,False
case_0159,1376,7,False
case_0160,624,7,False
case_0160,1780,7,False
case_0160,1910,7,False
case_0160,2040,7,False
case_0160,2170,7,False
case_0160,2300,7,False
case_0160,2430,7,False
case_0171,237,7,False
case_0171,703,7,False
case_0171,835,7,False
case_0174,61,7,False
case_0174,181,7,False
case_0174,300,7,False
case_0174,1441,7,False
case_0174,1551,7,False
case_0175,4058,7,False
case_0175,4168,7,False
case_0183,1356,7,False
case_0183,1499,7,False
case_0183,1643,7,False
case_0183,1786,7,False
case_0183,2237,7,False
case_0183,3346,7,False
case_0183,3468,7,False
case_0183,3590,7,False
case_0183,3712,7,False
case_0183,6076,7,False
case_0183,6188,7,False
case_0183,8385,7,False
case_0183,8511,7,False
case_0183,8638,7,False
case_0183,8765,7,False
case_0183,8891,7,False
case_0195,6258,7,False
case_0195,6380,7,False
case_0195,6502,7,False
case_0195,7585,7,False
case_0213,7128,7,False
case_0213,7238,7,False
case_0222,551,7,False
case_0222,673,7,False
case_0222,796,7,False
case_0222,918,7,False
case_0222,1819,7,False
case_0222,1954,7,False
case_0222,2089,7,False
case_0222,2225,7,False
case_0222,2360,7,False
case_0222,2495,7,False
case_0222,2630,7,False
case_0222,2765,7,False
case_0222,2901,7,False
case_0222,3036,7,False
case_0222,3171,7,False
case_0236,2467,7,False
case_0236,2606,7,False
case_0236,2746,7,False
case_0236,2885,7,False
case_0240,754,7,False
case_0240,925,7,False
case_0240,2223,7,False
case_0240,2347,7,False
case_0240,2470,7,False
case_0244,76,7,False
case_0244,225,7,False
case_0244,374,7,False
case_0244,772,7,False
case_0244,918,7,False
case_0244,2310,7,False
case_0244,2430,7,False
case_0244,2550,7,False
case_0247,132,7,False
case_0247,671,7,False
case_0247,814,7,False
case_0247,957,7,False
case_0247,1100,7,False
case_0247,1243,7,False
case_0251,178,7,False
case_0251,301,7,False
case_0251,1303,7,False
case_0251,1433,7,False
case_0251,3406,7,False
case_0252,2775,7,False
case_0252,2943,7,False
case_0252,3706,7,False
case_0252,3843,7,False
case_0262,595,7,False
case_0262,962,7,False
case_0263,1195,7,False
case_0268,342,7,False
case_0268,502,7,False
case_0268,661,7,False
case_0270,795,7,False
case_0270,923,7,False
case_0270,1050,7,False
case_0270,1920,7,False
case_0270,2054,7,False
case_0270,2188,7,False
case_0270,2321,7,False
case_0270,2455,7,False
case_0272,4407,7,False
case_0272,4546,7,False
case_0272,4684,7,False
case_0272,4823,7,False
case_0272,5343,7,False
case_0272,5474,7,False
case_0272,5604,7,False
case_0272,5735,7,False
case_0274,359,7,False
case_0274,507,7,False
case_0274,655,7,False
case_0274,803,7,False
case_0277,386,7,False
case_0277,521,7,False
case_0277,1330,7,False
case_0277,1496,7,False
case_0278,57,7,False
case_0278,402,7,False
case_0278,1281,7,False
case_0278,1425,7,False
case_0278,1569,7,False
case_0278,5517,7,False
case_0279,2567,7,False
case_0279,3109,7,False
case_0280,229,7,False
case_0280,1144,7,False
case_0280,1299,7,False
case_0280,1453,7,False
case_0282,665,7,False
case_0282,809,7,False
case_0282,952,7,False
case_0282,1095,7,False
case_0282,1239,7,False
case_0282,1382,7,False
case_0282,8391,7,False
case_0282,9530,7,False
case_0288,671,7,False
case_0288,826,7,False
case_0295,2116,7,False
case_0295,2238,7,False
case_0295,2360,7,False
case_0295,2847,7,False
case_0295,2988,7,False
case_0295,3626,7,False
case_0295,3777,7,False
case_0295,3929,7,False
case_0295,4080,7,False
case_0295,4231,7,False
case_0301,192,7,False
case_0307,1262,7,False
case_0307,1376,7,False
case_0308,303,7,False
case_0308,433,7,False
case_0308,1119,7,False
case_0308,1265,7,False
case_0310,920,7,False
case_0310,1281,7,False
case_0311,1727,7,False
case_0322,369,7,False
case_0322,507,7,False
case_0322,645,7,False
case_0322,783,7,False
case_0322,921,7,False
